Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,754,744,771,771,653,554,1089,762,1090,767,980,...,1031,671,1048,674,674,495,1364,939,1364,939,...,...,754,717,708,584,897,1024,897,875,897,875,...,...
      Irrigation,725,1046,830,1080,0,...,1275,721,1234,631,4366,...,1068,908,1121,898,0,...,2544,1510,2544,1510,...,...,1094,1229,1440,1220,0,...,1597,2224,1597,2224,...,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,296,285,311,284,0,...,354,433,354,433,...,...,172,212,176,212,160,215,264,817,264,817,...,...
      Land tax,201,530,230,561,0,...,1000,1425,1014,1430,0,...,808,840,829,830,374,991,415,785,415,785,...,...,152,1150,113,938,278,1655,38,431,38,431,...,...
      Land rent,1434,2532,1380,2475,1945,3045,243,1227,246,1235,0,...,9731,4573,9735,4676,9641,1475,7736,3487,7736,3487,...,...,1758,4445,1186,2979,3571,7103,1883,4402,1883,4402,...,...
      Other inputs,364,497,362,467,363,712,373,469,378,470,0,...,990,1221,1006,1234,666,947,1429,1821,1429,1821,...,...,741,340,768,337,656,339,1041,485,1041,485,...,...
      Interest on capital,16,14,16,15,18,15,21,15,21,15,0,...,1253,1359,1271,1371,905,1105,1413,1591,1413,1591,...,...,1420,2220,1514,2277,1121,2014,1025,1852,1025,1852,...,...
 Total Other Costs,3494,,3590,,2978,,4000,,3982,,5346,,15175,,15320,,12261,,15254,,15254,,0,,6092,,5905,,6683,,6744,,6744,,0,
Total Cost of Production,24522,,25002,,20989,,33982,,34054,,28584,,46425,,46749,,39891,,56169,,56169,,0,,37419,,38828,,32956,,49271,,49271,,0,
NET RETURNS,15015,,14041,,20678,,31592,,31823,,15089,,-4075,,-4387,,2130,,36045,,36045,,0,,21305,,22599,,16958,,57421,,57421,,0,
Cost/kg,6.04,,6.23,,4.94,,5.65,,5.64,,6.74,,13.68,,13.74,,12.34,,8.93,,8.93,,0,,8.89,,8.76,,9.38,,7.8,,7.8,,0,
Net Profit Cost Ratio,0.61,,0.56,,0.99,,0.93,,0.93,,0.53,,-0.09,,-0.09,,0.05,,0.64,,0.64,,0,,0.57,,0.58,,0.51,,1.17,,1.17,,0,
Net Profit from Rice Farming,15015,,14041,,20678,,31592,,31823,,15089,,-4075,,-4387,,2130,,36045,,36045,,0,,21305,,22599,,16958,,57421,,57421,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor",16844,,15920,,22077,,34393,,34593,,20280,,-999,,-1306,,5097,,39190,,39190,,0,,23625,,24898,,19348,,60110,,60110,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",18278,,17300,,24022,,34635,,34839,,20280,,8732,,8430,,14739,,46926,,46926,,0,,25384,,26084,,22919,,61992,,61992,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",18294,,17317,,24039,,34656,,34860,,20280,,9985,,9700,,15643,,48338,,48338,,0,,26803,,27598,,24040,,63017,,63017,,0,
Pampanga,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 56),,(n = 49),,(n = 7),,(n = 41),,(n = 41),,(n = 0),,(n = 49),,(n = 49),,(n = 0),,(n = 50),,(n = 50),,(n = 0),,(n = 114),,(n = 90),,(n = 24),,(n = 112),,(n = 112),,(n = 0),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),1.63,0.9,1.66,0.93,1.36,0.67,1.31,0.95,1.31,0.95,...,...,1.58,0.87,1.58,0.87,...,...,1.5,0.96,1.5,0.96,...,...,1.67,1.35,1.72,1.48,1.5,0.66,1.49,1.34,1.49,1.34,...,...
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),3854,1424,3836,1330,3974,2103,4138,2099,4138,2099,...,...,3236,1309,3236,1309,...,...,4732,1437,4732,1437,...,...,3895,1487,3948,1427,3699,1710,4964,1688,4964,1688,...,...
   Price (₱/kg),10.38,1.09,10.38,1.12,10.37,0.96,11.06,0.79,11.06,0.79,...,...,12.93,1.98,12.93,1.98,...,...,15.49,1.36,15.49,1.36,...,...,15.17,2.4,15.46,2.37,14.08,2.23,17.13,1.87,17.13,1.87,...,...
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,39997,,39822,,41219,,45776,,45776,,0,,41836,,41836,,0,,73304,,73304,,0,,59097,,61036,,52095,,85031,,85031,,0,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,1373,742,1385,748,1294,753,1913,765,1913,765,...,...,2498,1429,2498,1429,...,...,3220,1365,3220,1365,...,...,3066,1307,2945,1210,3522,1567,4035,1828,4035,1828,...,...
      Fertilizer,3713,1603,3778,1561,3256,1942,5148,4102,5148,4102,...,...,5440,2343,5440,2343,...,...,5502,2754,5502,2754,...,...,5230,2500,5132,2505,5598,2499,5500,2852,5500,2852,...,...
      Herbicides,474,562,493,587,339,339,321,471,321,471,...,...,736,613,736,613,...,...,440,489,440,489,...,...,796,773,791,778,817,771,1069,901,1069,901,...,...
      Insecticides,712,1346,773,1426,282,300,451,612,451,612,...,...,515,601,515,601,...,...,394,443,394,443,...,...,554,411,567,416,505,396,658,687,658,687,...,...
      Fungicides,3,25,4,27,0,...,60,287,60,287,...,...,276,358,276,358,...,...,80,194,80,194,...,...,41,164,46,182,23,68,21,118,21,118,...,...
      Other pesticides,0,...,0,...,0,...,23,62,23,62,...,...,163,356,163,356,...,...,70,217,70,217,...,...,246,307,255,323,211,237,404,481,404,481,...,...
 Total Material Costs,6275,,6433,,5171,,7916,,7916,,0,,9629,,9629,,0,,9706,,9706,,0,,9933,,9735,,10675,,11688,,11688,,0,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,181,393,176,398,211,377,37,131,37,131,...,...,87,224,87,224,...,...,50,160,50,160,...,...,186,391,207,427,104,195,66,220,66,220,...,...
        Land preparation,1898,1535,1749,1497,2946,1488,2643,2161,2643,2161,...,...,1396,1919,1396,1919,...,...,1810,2174,1810,2174,...,...,2548,2402,2436,2316,2965,2713,2644,2228,2644,2228,...,...
        Crop establishment,2052,1294,2040,1342,2143,969,2189,1925,2189,1925,...,...,3377,2186,3377,2186,...,...,1585,2277,1585,2277,...,...,4780,3286,4903,3311,4320,3219,1927,2525,1927,2525,...,...
        Crop care and maintenance,374,529,355,509,510,688,296,824,296,824,...,...,202,605,202,605,...,...,189,588,189,588,...,...,296,604,312,645,237,424,346,744,346,744,...,...
        Harvesting and threshing,6806,2689,6923,2741,5989,2300,10296,5225,10296,5225,...,...,7289,2771,7289,2771,...,...,12134,3238,12134,3238,...,...,11027,8001,11882,8408,7823,5230,11851,6505,11851,6505,...,...
        Post-harvest labor,445,497,433,464,529,730,603,609,603,609,...,...,352,408,352,408,...,...,532,594,532,594,...,...,1430,901,1462,900,1310,912,1891,1399,1891,1399,...,...
        Permanent hired labor,767,1897,832,2001,312,826,949,3165,949,3165,...,...,1747,3734,1747,3734,...,...,2279,4041,2279,4041,...,...,1902,4526,1495,3628,3430,6828,3627,5680,3627,5680,...,...
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,81,79,76,79,114,77,107,123,107,123,...,...,267,321,267,321,...,...,99,325,99,325,...,...,136,208,138,213,129,191,56,147,56,147,...,...
        Land preparation,448,542,458,548,375,532,571,677,571,677,...,...,935,1127,935,1127,...,...,1225,1635,1225,1635,...,...,795,1264,806,1235,752,1395,744,1322,744,1322,...,...
        Crop establishment,67,164,56,150,144,242,777,745,777,745,...,...,218,354,218,354,...,...,198,270,198,270,...,...,149,267,158,284,113,192,138,178,138,178,...,...
        Crop care and maintenance,677,722,673,754,705,485,800,615,800,615,...,...,1852,2253,1852,2253,...,...,1807,2295,1807,2295,...,...,831,1070,848,1077,769,1066,1251,1515,1251,1515,...,...
        Harvesting and threshing,155,460,153,466,171,454,16,92,16,92,...,...,81,246,81,246,...,...,120,347,120,347,...,...,2,15,3,17,0,...,0,...,0,...,...,...
        Post-harvest labor,23,46,22,45,31,56,188,262,188,262,...,...,142,257,142,257,...,...,160,317,160,317,...,...,0,...,0,...,0,...,4,33,4,33,...,...
 Power,569,1290,613,1355,259,658,115,390,115,390,...,...,773,803,773,803,...,...,787,885,787,885,...,...,392,344,396,375,378,189,615,935,615,935,...,...
 Total Labor and Power Costs,14545,,14560,,14438,,19587,,19587,,0,,18719,,18719,,0,,22976,,22976,,0,,24473,,25045,,22330,,25160,,25160,,0,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,1109,980,1061,920,1441,1371,955,711,955,711,...,...,916,1138,916,1138,...,...,1215,1007,1215,1007,...,...,1071,733,1151,749,768,588,1288,1032,1288,1032,...,...
      Irrigation,473,1351,541,1433,0,...,530,1211,530,1211,...,...,1535,1041,1535,1041,...,...,2847,1683,2847,1683,...,...,620,1192,785,1293,0,...,2598,3172,2598,3172,...,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,104,157,104,157,...,...,152,166,152,166,...,...,140,177,149,179,104,172,272,239,272,239,...,...
      Land tax,129,460,148,489,0,...,210,472,210,472,...,...,254,324,254,324,...,...,97,111,97,111,...,...,38,283,0,...,179,605,213,1229,213,1229,...,...
      Land rent,2295,3725,2325,3848,2080,2945,1454,2847,1454,2847,...,...,4725,695,4725,695,...,...,9932,1874,9932,1874,...,...,1467,3589,1454,3498,1513,3993,3036,5669,3036,5669,...,...
      Other inputs,385,383,370,393,494,297,203,269,203,269,...,...,492,555,492,555,...,...,867,576,867,576,...,...,688,285,689,289,687,276,867,345,867,345,...,...
      Interest on capital,8,13,7,13,13,17,8,10,8,10,...,...,409,522,409,522,...,...,623,1184,623,1184,...,...,522,806,535,811,475,800,355,846,355,846,...,...
 Total Other Costs,4399,,4452,,4028,,3360,,3360,,0,,8435,,8435,,0,,15734,,15734,,0,,4545,,4763,,3726,,8629,,8629,,0,
Total Cost of Production,25219,,25445,,23637,,30863,,30863,,0,,36783,,36783,,0,,48416,,48416,,0,,38951,,39542,,36732,,45478,,45478,,0,
NET RETURNS,14778,,14377,,17582,,14914,,14914,,0,,5053,,5053,,0,,24887,,24887,,0,,20146,,21494,,15363,,39553,,39553,,0,
Cost/kg,6.54,,6.63,,5.95,,7.46,,7.46,,0,,11.37,,11.37,,0,,10.23,,10.23,,0,,10,,10.02,,9.93,,9.16,,9.16,,0,
Net Profit Cost Ratio,0.59,,0.57,,0.74,,0.48,,0.48,,0,,0.14,,0.14,,0,,0.51,,0.51,,0,,0.52,,0.54,,0.42,,0.87,,0.87,,0,
Net Profit from Rice Farming,14778,,14377,,17582,,14914,,14914,,0,,5053,,5053,,0,,24887,,24887,,0,,20146,,21494,,15363,,39553,,39553,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor",16229,,15816,,19122,,17372,,17372,,0,,8548,,8548,,0,,28497,,28497,,0,,22059,,23446,,17127,,41746,,41746,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",18524,,18141,,21202,,18826,,18826,,0,,13274,,13274,,0,,38429,,38429,,0,,23526,,24901,,18641,,44782,,44782,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",18532,,18148,,21215,,18834,,18834,,0,,13683,,13683,,0,,39051,,39051,,0,,24048,,25435,,19116,,45137,,45137,,0,
Tarlac,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 76),,(n = 57),,(n = 19),,(n = 37),,(n = 37),,(n = 0),,(n = 86),,(n = 77),,(n = 9),,(n = 45),,(n = 45),,(n = 0),,(n = 172),,(n = 110),,(n = 62),,(n = 104),,(n = 100),,(n = 4),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),1.08,1.22,1.23,1.38,0.63,0.21,1.15,1.65,1.15,1.65,...,...,1.09,0.86,1.13,0.88,0.7,0.45,0.96,1.02,0.96,1.02,...,...,1.25,1.12,1.5,1.29,0.81,0.45,0.91,0.57,0.93,0.58,0.63,0.14
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),4090,1161,4348,1061,3317,1127,4383,1173,4383,1173,...,...,4120,1355,4089,1282,4386,1950,4943,1208,4943,1208,...,...,4238,1510,4293,1388,4140,1714,4793,1642,4872,1624,2833,424
   Price (₱/kg),9.26,0.99,9.34,0.94,9.02,1.11,10.52,1.14,10.52,1.14,...,...,11.12,1.85,11.19,1.85,10.53,1.87,15.04,0.6,15.04,0.6,...,...,14.8,2.28,15.02,2.3,14.41,2.21,16.38,1.82,16.36,1.84,17,1.15
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,37863,,40590,,29924,,46095,,46095,,0,,45823,,45760,,46181,,74360,,74360,,0,,62724,,64476,,59674,,78531,,79696,,48155,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,1317,532,1358,594,1193,248,1584,583,1584,583,...,...,2128,953,2076,874,2575,1465,2194,979,2194,979,...,...,2782,1215,2651,966,3014,1546,3503,1423,3484,1434,3967,1193
      Fertilizer,4042,2421,3846,2292,4627,2758,5106,1392,5106,1392,...,...,7181,2545,7217,2572,6875,2422,8969,3381,8969,3381,...,...,6932,3943,7115,3518,6607,4614,6891,2902,7000,2905,4149,444
      Herbicides,197,316,228,339,105,219,281,349,281,349,...,...,358,523,337,469,537,881,517,523,517,523,...,...,586,664,513,597,714,757,691,768,648,750,1767,269
      Insecticides,469,658,543,601,249,783,450,348,450,348,...,...,611,474,623,464,512,573,335,404,335,404,...,...,721,695,796,713,588,646,731,665,738,672,540,485
      Fungicides,0,...,0,...,0,...,0,...,0,...,...,...,48,150,49,153,41,124,24,111,24,111,...,...,226,740,202,511,269,1032,56,174,59,177,0,...
      Other pesticides,2,14,2,16,0,...,0,1,0,1,...,...,146,292,158,305,43,86,47,94,47,94,...,...,261,381,339,422,123,242,300,363,312,365,0,...
 Total Material Costs,6027,,5978,,6175,,7421,,7421,,0,,10472,,10459,,10583,,12086,,12086,,0,,11508,,11617,,11314,,12171,,12241,,10423,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,100,269,134,304,0,...,10,45,10,45,...,...,158,257,142,245,294,331,82,196,82,196,...,...,305,599,350,633,224,529,186,477,193,485,0,...
        Land preparation,1970,1847,2024,1922,1808,1640,1776,1660,1776,1660,...,...,2460,2056,2452,2059,2530,2158,2541,2061,2541,2061,...,...,2019,1974,2201,1835,1696,2177,2358,2197,2260,2097,4820,3487
        Crop establishment,1895,1156,2335,867,576,885,1729,1456,1729,1456,...,...,4027,1956,4103,1875,3378,2598,2524,1943,2524,1943,...,...,4025,2426,4605,2185,2997,2507,3642,3141,3788,3116,0,...
        Crop care and maintenance,29,135,38,155,0,...,57,187,57,187,...,...,45,178,49,187,10,22,94,298,94,298,...,...,248,523,211,440,314,644,294,902,306,918,0,...
        Harvesting and threshing,5136,2444,6011,2034,2512,1526,6713,1780,6713,1780,...,...,6990,2912,7044,2784,6521,4026,9710,4224,9710,4224,...,...,8151,4831,8502,5411,7528,3534,8948,4568,9045,4627,6535,1310
        Post-harvest labor,118,337,150,381,21,92,204,268,204,268,...,...,231,299,238,295,178,353,171,259,171,259,...,...,740,724,849,666,547,785,917,877,948,879,133,154
        Permanent hired labor,329,1510,439,1733,0,...,435,1812,435,1812,...,...,743,2273,778,2362,444,1333,1395,3829,1395,3829,...,...,873,2936,1109,3377,455,1872,1794,3926,1866,3988,0,...
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,91,61,97,59,72,63,73,92,73,92,...,...,365,302,370,292,326,395,224,279,224,279,...,...,359,559,283,324,494,812,423,762,440,772,0,...
        Land preparation,507,471,463,434,638,560,640,623,640,623,...,...,803,812,798,767,845,1189,645,945,645,945,...,...,1031,1418,910,1304,1245,1589,1620,2391,1647,2434,933,308
        Crop establishment,204,476,65,207,623,752,1040,596,1040,596,...,...,224,262,237,271,121,136,422,739,422,739,...,...,283,484,175,319,475,645,471,1097,346,780,3600,2771
        Crop care and maintenance,1145,817,1250,873,829,519,1363,703,1363,703,...,...,1464,1412,1502,1446,1137,1094,3625,2417,3625,2417,...,...,2033,2522,1927,2285,2222,2906,7297,10455,7453,10633,3404,1073
        Harvesting and threshing,499,781,191,533,1423,674,103,413,103,413,...,...,153,256,135,225,305,432,660,1317,660,1317,...,...,221,1098,95,574,446,1646,74,251,75,256,63,72
        Post-harvest labor,96,82,86,87,125,57,321,189,321,189,...,...,155,184,161,191,107,111,28,44,28,44,...,...,0,...,0,...,0,...,50,125,49,126,75,87
 Power,52,233,5,27,194,442,56,234,56,234,...,...,564,718,614,740,131,202,843,922,843,922,...,...,778,1120,697,714,921,1604,1276,2796,1313,2845,333,385
 Total Labor and Power Costs,12172,,13289,,8821,,14522,,14522,,0,,18384,,18624,,16325,,22963,,22963,,0,,21066,,21912,,19564,,29350,,29728,,19896,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,691,736,855,773,198,238,686,767,686,767,...,...,930,732,884,706,1332,869,1033,877,1033,877,...,...,1495,1241,1606,1245,1298,1220,1099,976,1108,991,870,497
      Irrigation,294,1185,392,1357,0,...,486,923,486,923,...,...,819,852,914,851,0,...,3711,2023,3711,2023,...,...,867,1286,1355,1388,0,...,3959,4232,4118,4240,0,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,200,205,188,178,307,366,104,130,104,130,...,...,122,142,124,163,118,94,155,173,156,177,113,54
      Land tax,66,126,85,140,8,25,228,337,228,337,...,...,197,354,209,369,98,167,65,78,65,78,...,...,646,5973,1010,7457,0,...,124,640,129,653,0,...
      Land rent,1881,4089,1311,2702,3592,6544,1932,3985,1932,3985,...,...,10061,6170,10315,6261,7886,5115,13134,4442,13134,4442,...,...,5357,8058,6591,9272,3167,4560,3477,6960,3396,7000,5504,6355
      Other inputs,279,728,345,829,81,133,222,230,222,230,...,...,1203,853,1257,867,740,561,1076,1488,1076,1488,...,...,825,401,842,441,796,319,871,317,879,321,684,28
      Interest on capital,16,16,16,13,17,22,16,19,16,19,...,...,753,1006,763,1028,668,837,932,1301,932,1301,...,...,1216,1947,1351,1763,975,2231,475,839,493,851,23,9
 Total Other Costs,3227,,3004,,3897,,3569,,3569,,0,,14164,,14530,,11031,,20054,,20054,,0,,10527,,12879,,6355,,10160,,10279,,7194,
Total Cost of Production,21426,,22271,,18893,,25512,,25512,,0,,43020,,43613,,37939,,55104,,55104,,0,,43101,,46408,,37233,,51681,,52248,,37513,
NET RETURNS,16436,,18319,,11031,,20583,,20583,,0,,2803,,2147,,8242,,19257,,19257,,0,,19623,,18068,,22441,,26850,,27448,,10642,
Cost/kg,5.24,,5.12,,5.7,,5.82,,5.82,,0,,10.44,,10.67,,8.65,,11.15,,11.15,,0,,10.17,,10.81,,8.99,,10.78,,10.72,,13.24,
Net Profit Cost Ratio,0.77,,0.82,,0.58,,0.81,,0.81,,0,,0.07,,0.05,,0.22,,0.35,,0.35,,0,,0.46,,0.39,,0.6,,0.52,,0.53,,0.28,
Net Profit from Rice Farming,16436,,18319,,11031,,20583,,20583,,0,,2803,,2147,,8242,,19257,,19257,,0,,19623,,18068,,22441,,26850,,27448,,10642,
"Net Profit from Rice Farming + Returns
 to Own Labor",18978,,20471,,14742,,24123,,24123,,0,,5968,,5349,,11082,,24860,,24860,,0,,23550,,21457,,27323,,36785,,37457,,18717,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",20860,,21783,,18334,,26055,,26055,,0,,16029,,15665,,18968,,37994,,37994,,0,,28907,,28048,,30490,,40262,,40853,,24221,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",20876,,21798,,18350,,26071,,26071,,0,,16782,,16428,,19636,,38926,,38926,,0,,30122,,29399,,31465,,40736,,41346,,24244,
Laguna,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 56),,(n = 38),,(n = 18),,(n = 45),,(n = 36),,(n = 9),,(n = 59),,(n = 59),,(n = 0),,(n = 57),,(n = 56),,(n = 1),,(n = 102),,(n = 86),,(n = 16),,(n = 114),,(n = 92),,(n = 22),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),1,0.87,1.06,0.97,0.86,0.62,1.05,0.94,1.11,1,0.83,0.67,1.02,0.86,1.02,0.86,...,...,1.04,1.02,1.05,1.02,0.5,...,0.94,0.82,1.03,0.85,0.44,0.26,1.14,1.06,1.34,1.09,0.32,0.16
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),2677,1094,2579,1181,2883,876,3868,1343,3889,1482,3782,552,3707,1418,3707,1418,...,...,4145,1423,4169,1424,2800,...,3411,2795,3179,1625,4658,5972,5032,2559,5049,2592,4961,2473
   Price (₱/kg),8.81,1.44,8.2,1.34,10.11,0.4,10.65,0.8,10.79,0.84,10.08,0.18,12.25,1.39,12.25,1.39,...,...,13.09,0.97,13.11,0.97,12,...,14.51,1.68,14.37,1.73,15.25,1.13,15.98,1.72,15.82,1.6,16.64,2.06
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,23588,,21141,,29149,,41198,,41980,,38134,,45391,,45391,,0,,54269,,54665,,33600,,49488,,45683,,71036,,80403,,79881,,82530,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,1161,500,1109,544,1271,383,1122,517,1060,544,1371,300,1711,901,1711,901,...,...,1822,1037,1829,1045,1400,...,2545,2430,2517,2498,2693,2091,2806,2703,2434,2503,4361,3006
      Fertilizer,4008,3108,4335,2662,3318,3885,4134,2484,4376,2513,3166,2229,5232,2869,5232,2869,...,...,5442,2992,5411,3009,7200,...,6193,4548,5909,4019,7719,6695,6174,4684,5582,4659,8653,4000
      Herbicides,321,307,243,266,485,330,182,223,114,180,454,169,330,356,330,356,...,...,364,367,358,367,700,...,630,717,644,752,557,506,569,638,660,668,188,269
      Insecticides,686,887,688,857,684,973,475,470,354,387,958,480,822,737,822,737,...,...,944,818,951,823,510,...,1180,1286,1205,1220,1043,1637,866,809,784,716,1210,1073
      Fungicides,21,86,17,68,27,117,0,...,0,...,0,...,0,...,0,...,...,...,1,9,1,9,0,...,25,137,29,149,0,...,70,387,87,429,0,...
      Other pesticides,229,354,218,360,253,352,407,534,509,552,0,...,382,480,382,480,...,...,541,508,538,512,700,...,790,1103,902,1162,188,284,814,921,837,882,717,1086
 Total Material Costs,6427,,6611,,6038,,6320,,6413,,5949,,8478,,8478,,0,,9113,,9089,,10510,,11363,,11207,,12199,,11299,,10383,,15129,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,103,233,64,146,187,344,26,79,32,87,0,...,123,219,123,219,...,...,134,227,137,228,0,...,707,2914,771,3159,364,709,253,740,314,813,0,...
        Land preparation,2134,1799,1795,1786,2850,1653,2694,2177,2866,2381,2005,761,3284,2640,3284,2640,...,...,3195,2473,3252,2457,0,...,3644,6059,3164,5979,6223,6014,3264,4874,3212,3442,3485,8742
